Cats	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?item ?itemLabel WHERE {   ?item wdt:P31 wd:Q146. ?item rdfs:label ?itemLabel . FILTER (LANG(?itemLabel) = "en") . } 
Goats	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?item ?itemLabel WHERE {   ?item wdt:P31 wd:Q2934. ?item rdfs:label ?itemLabel . FILTER (LANG(?itemLabel) = "en") . } 
Horses (showing some info about them)	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?horse ?horseLabel ?mother ?father ?birthdate ?deathdate ?genderLabel WHERE {   ?horse wdt:P31/wdt:P279* wd:Q726 .   OPTIONAL{?horse wdt:P25 ?mother .}   OPTIONAL{?horse wdt:P22 ?father .}   OPTIONAL{?horse wdt:P569 ?birthdate .}   OPTIONAL{?horse wdt:P570 ?deathdate .}   OPTIONAL{?horse wdt:P21 ?gender . ?gender rdfs:label ?genderLabel . FILTER (LANG(?genderLabel) = "en") .}   ?horse rdfs:label ?horseLabel . FILTER (LANG(?horseLabel) = "en") . } ORDER BY ?horse 
Cats, with pictures	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?item ?itemLabel ?pic WHERE { ?item wdt:P31 wd:Q146 . ?item wdt:P18 ?pic. ?item rdfs:label ?itemLabel . FILTER (LANG(?itemLabel) = "en") . } 
Map of hospitals	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?item ?geo  WHERE {   ?item wdt:P31/wdt:P279* wd:Q16917;         wdt:P625 ?geo . } 
Number of humans in Wikidata	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT (COUNT(?item) AS ?count) WHERE {   ?item wdt:P31 wd:Q5 . } 
Humans without children 0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX wdno: <http://www.wikidata.org/prop/novalue/> SELECT ?human ?humanLabel WHERE {   ?human wdt:P31 wd:Q5 .   ?human rdf:type wdno:P40 . ?human rdfs:label ?humanLabel . FILTER (LANG(?humanLabel) = "en") . } 
Humans without children 1	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX wdno: <http://www.wikidata.org/prop/novalue/> SELECT ?human ?humanLabel WHERE {   ?human wdt:P31 wd:Q5 .   ?human p:P40 ?childStatement .   ?childStatement rdf:type wdno:P40 . ?human rdfs:label ?humanLabel . FILTER (LANG(?humanLabel) = "en") . } 
Humans born in New York City 0	PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT DISTINCT ?item ?itemLabel ?itemDescription ?sitelinks WHERE {     ?item wdt:P31 wd:Q5;           wdt:P19 wd:Q60;              ^schema:about/wikibase:sitelinks ?sitelinks. ?item rdfs:label ?itemLabel . FILTER (LANG(?itemLabel) = "en") . } ORDER BY DESC(?sitelinks) 
Humans born in New York City 1	PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX schema: <http://schema.org/> SELECT DISTINCT ?item ?itemLabel ?itemDescription ?sitelinks WHERE {     ?item wdt:P31 wd:Q5;           wdt:P19/wdt:P131* wd:Q60;              ^schema:about/wikibase:sitelinks ?sitelinks. ?item rdfs:label ?itemLabel . FILTER (LANG(?itemLabel) = "en") . } ORDER BY DESC(?sitelinks) 
